Category,Dish Name,Quantity/Size,Price,Thali Name,Components
Non-Veg Dishes,Chicken Masala,Quarter/Half/Full,Rs. 120/- 225/- 450/-,,
Non-Veg Dishes,Butter Chicken,Quarter/Half/Full,Rs. 130/- 250/- 500/-,,
Non-Veg Dishes,Kadhai Chicken,Quarter/Half/Full,Rs. 130/- 250/- 500/-,,
Non-Veg Dishes,Matka Chicken,Full Only,Rs. 520/-,,
Non-Veg Dishes,Matka Mutton Masala,Quarter/Half/Full,Rs. 230/- 450/- 800/-,,
Non-Veg Dishes,Mutton Rogan Josh,Quarter/Half/Full,Rs. 230/- 450/- 800/-,,
Non-Veg Dishes,Egg Curry,Full Only,Rs. 90/-,,
Non-Veg Dishes,Hydrabadi Chicken,Quarter/Half/Full,Rs. 130/- 250/- 500/-,,
Non-Veg Dishes,Chicken Fried,Quarter/Half/Full,Rs. 110/- 210/- 410/-,,
Chinese Non-Veg Dishes,Chicken Chowmin,,Rs. 120/-,,
Chinese Non-Veg Dishes,Chicken Fried Rice,,Rs. 120/-,,
Chinese Non-Veg Dishes,Chicken Chilli (10 Cubes),,Rs. 160/-,,
Chinese Non-Veg Dishes,Egg Chilli (8 Cubes),,Rs. 100/-,,
Non-Veg Fried,Chicken Fried Special,Quarter/Half/Full,Rs. 135/- 260/- 500/-,,
Haven Special Thalis,,,Rs. 180/-,Haven Special Chicken Thali,"Chicken Gravy, Chicken Dried, Rice, Chapati -5, Salad Special, Chatney, Veg Rayta Special"
Haven Special Thalis,,,Rs. 100/-,Haven Special Egg Thali,"Egg Curry with 3 Pcs, Chapati â€“ 4, Rice, Boondi Rayta, Salad, Papad, Chatney"
